dc:identifier,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,citedby-count,affiliation,subtypeDescription,abstract
85191180283,Developing customer analytics capability in firms of different ages: Examining the complementarity of outside-in and inside-out resources,Mehrabi H.,Industrial Marketing Management,2024-05-01,10.1016/j.indmarman.2024.04.009,0,Kingston Business School,Article,"© 2024 The AuthorsCustomer analytics capability remains underdeveloped among firms despite its potential for enhancing competitiveness. Previous research has predominantly focused on inside-out organizational factors as drivers of customer analytics capability. This paper examines the role of outside-in resource, the complementarity between outside-in and inside-out resources, and their boundary conditions. Specifically, we study how customer orientation culture (an outside-in resource) complements data-driven culture (an inside-out resource) in firms of different ages to drive customer analytics capability and subsequently, firm performance. Using survey data obtained from Canadian firms, we find that customer orientation is not only positively related to customer analytics capability but also reinforces the effect of data-driven culture. We further find that the conditional effect of customer orientation becomes stronger as firm age increases. In particular, among older firms, the impact of data-driven culture is greatest when customer orientation is high, but it becomes nonsignificant when customer orientation is low. We also link these relationships to firm performance using mediation and moderated mediation analyses. Overall, the results suggest that achieving customer analytics excellence and resultant competitive performance requires marketing to continuously act as customer champions and advocate data analytics efforts to ensure the firm embraces an outside-in orientation."
85190999153,Unlocking the potential of Industrial Internet of Things (IIOT) in the age of the industrial metaverse: Business models and challenges,Endres H.,Industrial Marketing Management,2024-05-01,10.1016/j.indmarman.2024.03.006,0,Universität Regensburg,Article,"© 2024 The AuthorsWhile the Industrial Internet of Things (IIoT) holds much promise, there is a mismatch between its potential and companies capturing value from investments in IIoT. Indeed, even when companies recognize the value of IIoT, they do not necessarily know how to grasp related opportunities and are challenged in developing a suitable business model. Accordingly, to alleviate roadblocks to capturing value from IIoT, in this paper we address the challenge of identifying suitable business models in the age of the industrial metaverse. We do so through an extensive review and classification of main IIoT business model archetypes that are successful in practice. In particular, we conduct a content analysis of IIoT projects based on over 2000 articles in industry trade magazines and newspapers. Our analysis identifies four distinct business model archetypes in the context of IIoT, viz. IIoT digical, IIoT service-centered, IIoT data-driven, and IIoT platform, and further explores the challenges that need to be addressed to ensure that companies can capture value from their IIoT initiatives. We explore appropriate contexts for these business model archetypes, and, in doing so, we provide actionable guidance for industrial (marketing) managers seeking to position their IIoT offerings and maximize their value."
85189010126,Future applications of generative large language models: A data-driven case study on ChatGPT,Filippo C.,Technovation,2024-05-01,10.1016/j.technovation.2024.103002,1,Università di Pisa,Article,"© 2024 The Author(s)This study delves into the evolving role of generative Large Language Models (LLMs). We develop a data-driven approach to collect and analyse tasks that users are asking to generative LLMs. Thanks to the focus on tasks this paper contributes to give a quantitative and granular understanding of the potential influence of LLMs in different business areas. Utilizing a dataset comprising over 3.8 million tweets, we identify and cluster 31,747 unique tasks, with a specific case study on ChatGPT. To reach this goal, the proposed method combines two Natural Language Processing (NLP) Techniques, Named Entity Recognition (NER) and BERTopic. The combination makes it possible to collect granular tasks of LLMs (NER) and clusters them in business areas (BERTopic). Our findings reveal a wide spectrum of applications, from programming assistance to creative content generation, highlighting LLM's versatility. The analysis highlighted six emerging areas of application for ChatGPT: human resources, programming, social media, office automation, search engines, education. The study also examines the implications of these findings for innovation management, proposing a research agenda to explore the intersection of the identified areas, with four stages of the innovation process: idea generation, screening/idea selection, development, and diffusion/sales/marketing."
85188689332,Mathematical analysis of big data analytics under bipolar complex fuzzy soft information,Jan N.,Applied Soft Computing,2024-05-01,10.1016/j.asoc.2024.111481,1,Korea National University of Transportation,Article,"© 2024 Elsevier B.V.The aim of this study is to develop new and efficient theories for handling complex and unreliable data in real-world scenarios. The proposed approach integrates two distinct theories: the Bipolar Complex Fuzzy Set (BCFS) and the Soft Set (SS), resulting in a novel and superior method compared to existing solutions. Furthermore, the value of big data analytics cannot be overstated as it provides businesses with the opportunity to use their data to find areas for development and progress. To gain insights from raw data, it must first be collected and organized. Data modeling represents these large, complex data sets in a visual format, such as a chart or diagram. However, the visualization process often results in uncertainties and inaccuracies, highlighting the need for a more robust approach to data analysis. To address this issue, this paper introduces the concept of Bipolar Complex Fuzzy Soft Relations (BCFSRs), a fuzzy decision-making method within a complex bipolar fuzzy environment that can have the advantages of both a Bipolar Complex fuzzy relation and a soft relation at the same time. In BCFSRs, an element can have degrees of membership in both the positive and negative directions, reflecting a more nuanced and versatile representation of uncertainty or ambiguity. These mathematical ideas are explained through the Cartesian product of two Bipolar Complex Fuzzy Soft Sets (BCFSSs) and serve to simplify the decision-making process by presenting the BCFSSs in a clear and concise manner. The inventive notion of the BCFSRs elucidates the combined positive and negative effects of anything with parameterization. To support organizations in making data-driven choices and obtain insights for strategic planning and inventiveness, the analysis of big data is essential in several industries, including financial services, marketing, and medical treatment, among others. To choose the optimal big data analytics for efficient operation, this research presents modeling methodologies based on BCFSRs, including the formulation and analysis of scoring functions. The validity of the proposed work is demonstrated through a comparison study with existing methods, providing valuable insights for effective data analysis."
85182892371,GNN-IR: Examining graph neural networks for influencer recommendations in social media marketing,Park J.,Journal of Retailing and Consumer Services,2024-05-01,10.1016/j.jretconser.2024.103705,1,University of Toronto,Article,"© 2024 Elsevier LtdWith the notable growth of the Internet, a number of platforms have emerged and attracted an enormous number of users. Based on the impact of these platforms, some ‘influencers’ are highlighted. These influencers wield significant power, shaping consumer behavior. This influence spawned the concept of influencer marketing, where companies leverage these personalities to advertise their products. YouTube stands out as a prominent platform in this trend. However, considering the limited number of influencers and their concepts, the majority of companies, which hope to conduct their marketing campaigns with influencers face challenges in identifying suitable influencers for their campaigns. With this trend, we introduce GNN-IR, a graph neural network for influencer recommendation, based on the connections between companies and influencers of YouTube, one of the largest content platforms. In developing GNN-IR, we adopted a data-driven methodology utilizing a meticulously curated dataset collected in-house. Our dataset comprises a total of 25,174 relationship entries between advertisers and influencers, involving 1,886 distinct advertisers and 3,812 unique YouTube influencers. It encompasses diverse data modalities, including images, text, and assorted metadata. The data was sourced from two primary platforms: YouTube and ugwanggi. Ugwanggi provided valuable insights into the relationships between advertisers and influencers via their information. Meanwhile, YouTube offered more comprehensive and detailed influencer-centric information. We employed PyTorch Geometric to construct a bipartite graph representing interconnected data. Our recommendation system operates via link prediction, suggesting the Top-k influencers to advertisers based on the calculated connection probability between nodes. To assess GNN-IR's performance, we employed a range of evaluation metrics. For link prediction, we measured Accuracy, Precision, Recall, and F1-score. Additionally, in the recommendation phase, we evaluated Precision@k, Recall@k, and F1-score@k. Using GNN-IR and incorporating profile images from YouTube, keyword features, metadata, and sentiment gleaned from YouTube comments, we achieved Precision levels of 96.51% at k=1 and 93.68% at k=10. Based on the experimental results, several implications and limitations are presented. The collected dataset is publicly available at https://github.com/dxlabskku/GNN-IR.git."
85189497984,Unraveling the relationship between audience engagement and audiovisual characteristics of automotive green advertising on Chinese TikTok (Douyin),Wang C.,PLoS ONE,2024-04-01,10.1371/journal.pone.0299496,0,Macau University of Science and Technology,Article,"© 2024 Wang, Li. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.As video platforms such as Douyin, also known as TikTok's Chinese version, continue to grow, there is an increasing interest in the study of green advertising videos to understand their audiovisual features and their impact on audience engagement. In this research, we specifically focus on green advertising within the automotive industry. Drawing on literature from sustainability, green advertising, and communication studies, we identified seven audiovisual aspects and three persuasive strategies pertinent to green automotive advertising videos. Utilizing a mixed-methods video analysis framework, we analyzed a dataset of 2,553 green automotive advertising videos on Douyin over three years from 15 June 2020 to 15 June 2023. These videos exhibited higher loudness, a faster pace, and longer durations compared to their non-green counterparts. We categorized three distinct types of green advertising videos on Douyin and established that specific audiovisual features and persuasive strategies are significantly correlated with audience engagement levels. This study not only delineates the audiovisual characteristics of green automotive advertising in China's digital space but also contributes to the broader discourse on sustainable marketing practices on social networks like TikTok. The findings extend image-centric research to video content and provide marketers with data-driven insights for crafting effective content creation strategies on Douyin."
85188859621,Consumer-side fairness in recommender systems: a systematic survey of methods and evaluation,Vassøy B.,Artificial Intelligence Review,2024-04-01,10.1007/s10462-023-10663-5,0,Norges Teknisk-Naturvitenskapelige Universitet,Article,"© The Author(s) 2024.In the current landscape of ever-increasing levels of digitalization, we are facing major challenges pertaining to data volume. Recommender systems have become irreplaceable both for helping users navigate the increasing amounts of data and, conversely, aiding providers in marketing products to interested users. Data-driven models are susceptible to data bias, materializing in the bias influencing the models’ decision-making. For recommender systems, such issues are well exemplified by occupation recommendation, where biases in historical data may lead to recommender systems relating one gender to lower wages or to the propagation of stereotypes. In particular, consumer-side fairness, which focuses on mitigating discrimination experienced by users of recommender systems, has seen a vast number of diverse approaches. The approaches are further diversified through differing ideas on what constitutes fair and, conversely, discriminatory recommendations. This survey serves as a systematic overview and discussion of the current research on consumer-side fairness in recommender systems. To that end, a novel taxonomy based on high-level fairness definitions is proposed and used to categorize the research and the proposed fairness evaluation metrics. Finally, we highlight some suggestions for the future direction of the field."
85185789168,Exploring how to develop data-driven innovation capability of marketing within B2B firms: Toward a capability model and process-oriented approach,Ravat L.,Industrial Marketing Management,2024-04-01,10.1016/j.indmarman.2023.12.015,0,Centre d'Etudes et de Recherche en Gestion d'Aix-Marseille,Article,"© 2023 Elsevier Inc.The increasing digitalization of innovation activities is reshaping how marketing organizations practice innovation, and, to date, little research has studied the data-driven innovation capability of marketing. Given the essential role played by B2B marketing departments in new product and service development, this paper takes an abductive approach to elucidate how the data-driven innovation capability of marketing can be constructed by identifying its constituent elements and underlying processes. It draws upon the existing literature on digital marketing capabilities applied to innovation and 17 in-depth interviews with B2B managers. The paper proposes a capability model for the data-driven innovation capability of marketing that articulates building blocks according to three major phases: (1) ideation, (2) analysis, and (3) deployment. It reveals the resources and competencies for operationalizing three successive routines to: (1) generate a knowledge ecosystem, (2) disseminate data-driven insights, and (3) design an answer. Each routine is facilitated by three distinct learning mechanisms that (1) capture, (2) articulate, and (3) codify, throughout the innovation phases. Furthermore, potential enablers and consequences are identified to offer an overall process-oriented framework. This study provides valuable guidance to marketing managers by determining the critical resources, routines, and learning mechanisms for engaging in data-driven innovation."
85183022609,A pricing optimization modelling for assisted decision making in telecommunication product-service bundling,Zakaria A.F.,International Journal of Information Management Data Insights,2024-04-01,10.1016/j.jjimei.2024.100212,1,Universiti Kebangsaan Malaysia,Article,"© 2024 The Author(s)Product service bundle (PSB) is a marketing strategy that offers attractive product-service packages with competitive pricing to ensure sustained profitability. However, designing suitable pricing for PSB is a non-trivial task that involves complex decision-making. This paper explores the significance of pricing optimization in the telecommunication industry, focusing on product-service bundling (PSB). It delves into the challenges associated with pricing PSB and highlights the transformative impact of big data analytics on decision-making for PSB strategies. The study presents a data-driven pricing optimization model tailored for designing appropriate pricing structures for product-service bundles within the telecommunication services domain. This model integrates customer preference knowledge and involves intricate decision-making processes. To demonstrate the feasibility of the proposed approach, the paper conducts a case study encompassing two design scenarios, wherein the results reveal that the model offers competitive pricing compared to existing telecommunication service providers, facilitating PSB design and decision-making. The findings from the case study indicate that the data-driven pricing optimization model can significantly aid PSB design and decision-making, leading to competitive pricing strategies that open avenues for new market exploration and ensure business sustainability. By considering both product and service features concurrently, the proposed model provides a pricing reference for optimal decision-making. The case study validates the feasibility and effectiveness of the approach within the telecommunication industry and highlights its potential for broader applications. The model's capability to generate competitive pricing strategies offers opportunities for new market exploration, ensuring business growth and adaptability."
85161698678,Digital Marketing and Analytics Education: A Systematic Review,Ye C.,Journal of Marketing Education,2024-04-01,10.1177/02734753231166414,1,University of Hartford,Article,"© The Author(s) 2023.Advances in digital technologies coupled with the explosion of data are transforming the marketing education landscape at a rapid pace. Given the scale and speed of digital disruption in today’s industry, marketing academics face ongoing challenges of addressing the theory–practice gap, which will only accelerate. The purpose of the current study is to gain a better understanding of the current state of digital/social media marketing and analytics education through a review of past pedagogical research in the realm of digital/social media marketing and marketing analytics. The collected database (N = 54) was analyzed based on their category and scope, and sub-themes within each category. Our findings indicate that while business schools have been diligent in introducing important skill sets to their curriculum, the approach has been predominately tactical, rather than driven by an overarching strategic plan. Based on the findings, we discuss the implications for marketing educators and directions for future research that can help bridge the theory–practice gap as we proceed in the future data-driven digital environments."
