dc:identifier,dc:title,dc:creator,prism:coverDate,prism:doi,citedby-count,affiliation,subtypeDescription,abstract
85191180283,Developing customer analytics capability in firms of different ages: Examining the complementarity of outside-in and inside-out resources,Mehrabi H.,2024-05-01,10.1016/j.indmarman.2024.04.009,0,Kingston Business School,Article,
85190999153,Unlocking the potential of Industrial Internet of Things (IIOT) in the age of the industrial metaverse: Business models and challenges,Endres H.,2024-05-01,10.1016/j.indmarman.2024.03.006,0,Universität Regensburg,Article,
85189010126,Future applications of generative large language models: A data-driven case study on ChatGPT,Filippo C.,2024-05-01,10.1016/j.technovation.2024.103002,1,Università di Pisa,Article,
85188689332,Mathematical analysis of big data analytics under bipolar complex fuzzy soft information,Jan N.,2024-05-01,10.1016/j.asoc.2024.111481,1,Korea National University of Transportation,Article,
85182892371,GNN-IR: Examining graph neural networks for influencer recommendations in social media marketing,Park J.,2024-05-01,10.1016/j.jretconser.2024.103705,1,University of Toronto,Article,
85189497984,Unraveling the relationship between audience engagement and audiovisual characteristics of automotive green advertising on Chinese TikTok (Douyin),Wang C.,2024-04-01,10.1371/journal.pone.0299496,0,Macau University of Science and Technology,Article,
85188859621,Consumer-side fairness in recommender systems: a systematic survey of methods and evaluation,Vassøy B.,2024-04-01,10.1007/s10462-023-10663-5,0,Norges Teknisk-Naturvitenskapelige Universitet,Article,
85185789168,Exploring how to develop data-driven innovation capability of marketing within B2B firms: Toward a capability model and process-oriented approach,Ravat L.,2024-04-01,10.1016/j.indmarman.2023.12.015,0,Centre d'Etudes et de Recherche en Gestion d'Aix-Marseille,Article,
85183022609,A pricing optimization modelling for assisted decision making in telecommunication product-service bundling,Zakaria A.F.,2024-04-01,10.1016/j.jjimei.2024.100212,1,Universiti Kebangsaan Malaysia,Article,
85161698678,Digital Marketing and Analytics Education: A Systematic Review,Ye C.,2024-04-01,10.1177/02734753231166414,1,University of Hartford,Article,
85189242944,The Data Product-service Composition Frontier: A Hybrid Learning Approach,Quattrocchi G.,2024-03-23,10.1145/3649319,0,Politecnico di Milano,Article,
85178468280,"Mapping research in marketing: trends, influential papers and agenda for future research",Ramos R.,2024-03-07,10.1108/SJME-10-2022-0221,0,Iscte – Instituto Universitário de Lisboa,Article,
85152266844,Growth hacking and international dynamic marketing capabilities: a conceptual framework and research propositions,Bargoni A.,2024-03-05,10.1108/IMR-07-2022-0156,6,Università degli Studi di Torino,Article,
85189170373,Fog Computing-Based Smart Consumer Recommender Systems,Hornik J.,2024-03-01,10.3390/jtaer19010032,0,Tel Aviv University,Article,
85188924408,Leveraging Business Intelligence Systems for Enhanced Corporate Competitiveness: Strategy and Evolution,Jiménez-Partearroyo M.,2024-03-01,10.3390/systems12030094,0,Universidad Rey Juan Carlos,Article,
85188677140,Toward a decision-making system based on artificial intelligence for precision marketing: A case study of Morocco,El Koufi N.,2024-03-01,10.1016/j.joitmc.2024.100250,0,Laboratoire de Technologie de l'Information et Modélisation,Article,
85188329315,Unlocking SEO testing insights: Leveraging quasi-experimental designs for effective experiments,Fernandes A.,2024-03-01,,0,,Article,
85186543148,A data-driven approach to improve online consumer subscriptions by combining data visualization and machine learning methods,Fernandes E.,2024-03-01,10.1111/ijcs.13030,1,Iscte – Instituto Universitário de Lisboa,Article,
85185000332,Intelligent attribution modeling for enhanced digital marketing performance,Ben Mrad A.,2024-03-01,10.1016/j.iswa.2024.200337,0,Institut Supérieur d'Administration des Affaires,Article,
85181735917,Growth hacking: A critical review to clarify its meaning and guide its practical application,Bargoni A.,2024-03-01,10.1016/j.techfore.2023.123111,1,Università degli Studi di Torino,Article,
85179497219,"Understanding the relationship between marketing analytics, customer agility, and customer satisfaction: A longitudinal perspective.",Agag G.,2024-03-01,10.1016/j.jretconser.2023.103663,7,University of Sadat City,Article,
85162732289,Meta-Analysis: Quality of Life and Marketing Systems,Krasnikov A.,2024-03-01,10.1177/02761467231179880,2,HSE University,Article,
85186404662,Smart Marketing Investments: A Framework for AI-Based Financial Decision Support,Singh M.,2024-02-23,,0,Al Tareeqah Management Studies,Article,
85184697236,Leveraging Deep Learning for Customer Segmentation: Patterns and Preferences Unveiled,Kumar C.N.,2024-02-02,,0,"Prin. L. N. Welingkar Institute of Management Development &amp; Research, Mumbai",Article,
85182625098,AI and data-driven media analysis of TV content for optimised digital content marketing,Nixon L.,2024-02-01,10.1007/s00530-023-01195-7,0,MODUL Technology GmbH,Article,
85177172560,Designing an AI purchasing requisition bundling generator,Spreitzenbarth J.M.,2024-02-01,10.1016/j.compind.2023.104043,1,Universität Mannheim,Article,
85176385096,Contract design considering data driven marketing: with and without the cap and trade regulation,Zhang J.,2024-02-01,10.1007/s10479-023-05678-8,0,Tianjin University,Article,
85183637900,SYSTEMATIC REVIEW: OPPORTUNITIES AND BARRIERS TO ONLINE MARKETING CAUSED BY THE DEVELOPMENT OF THE INTERNET OF THINGS,Nikolaev D.,2024-01-18,10.3846/btp.2024.19203,0,Masaryk University,Article,
85185306896,A Novel Approach for Prediction of Consumer Buying Behaviour of Luxury Fashion Goods Using Machine Learning Algorithms,Kumar A.,2024-01-12,,0,I.T.S. Engineering College,Article,
85173478755,The new era of hotel marketing: integrating cutting-edge technologies with core marketing principles,Bilgihan A.,2024-01-02,10.1108/JHTT-04-2023-0095,2,College of Business,Article,
85192447236,Applying advanced sentiment analysis for strategic marketing insights: A case study of BBVA using machine learning techniques,Gallastegui L.M.G.,2024-01-01,10.21511/im.20(2).2024.09,0,Universidad Católica de Ávila,Article,
85192101622,The impact of ambidextrous traditional and contemporary data analytics on marketing innovation,Gnizy I.,2024-01-01,10.1057/s41270-024-00316-z,0,Ono Academic College,Article,
85190418566,Identifying Drug–Drug Interactions in Spontaneous Reports Utilizing Signal Detection and Biological Plausibility Aspects,Kontsioti E.,2024-01-01,10.1002/cpt.3258,0,University of Liverpool,Article,
85190381064,Advertisement design in dynamic interactive scenarios using DeepFM and long short-term memory (LSTM),Zeng L.,2024-01-01,10.7717/peerj-cs.1937,0,Xinxiang College,Article,
85190360655,Effect of social media analytics on firm performance: the moderating role of entrepreneurial orientation,Onngam W.,2024-01-01,10.1108/JABS-01-2023-0040,0,National Institute of Development Administration,Article,
85190168598,"Class imbalanced problem: Taxonomy, open challenges, applications and state-of-the-art solutions",Bhat K.A.,2024-01-01,10.23919/JCC.ea.2022-0448.202401,0,National Institute of Technology Srinagar,Article,
85190111537,Bibliometric insights into the evolution of digital marketing trends,Sang N.M.,2024-01-01,10.21511/im.20(2).2024.01,0,,Article,
85189200665,"A Systematic Review Examining Multi-Level Policy and Practice Recommendations, and Calls for Research, on Food Insecurity at American Community Colleges",D’Andrea-Baker C.A.J.,2024-01-01,10.1177/00915521241241265,0,University of Hartford,Article,
85188933380,DealShare: Value Based Positioning in B2C Markets,Ranjani K.S.,2024-01-01,10.1108/EEMCS-10-2023-0368,0,Finance,Article,
85188171660,SMART FARMING USING THE BIG DATA-DRIVEN APPROACH FOR SUSTAINABLE AGRICULTURE WITH IOT-DEEP LEARNING TECHNIQUES,Wang B.,2024-01-01,10.12694/scpe.v25i2.2540,0,Neimenggu Agricultural University,Article,
85188091491,Approaching tourism communication with empirical multimodality: exploratory analysis of Instagram and website photography through data-driven labeling,Mattei E.,2024-01-01,10.3389/fcomm.2024.1355406,0,Università Ca' Foscari Venezia,Article,
85185965186,Research trends in market intelligence: a review through a data-driven quantitative approach,Soykoth M.W.,2024-01-01,10.1057/s41270-023-00285-9,1,E. J. Ourso College of Business,Article,
85185116213,Leveraging AI Predictive Analytics for Marketing Strategy: The Mediating Role of Management Awareness,Alshaketheep K.,2024-01-01,10.33168/JSMS.2024.0205,0,Hashemite University,Article,
85184930938,"Exploring ADR Trends: A Data Mining Approach to Hotel Room Pricing, Cancellations, and EDA",Hikmawati N.K.,2024-01-01,10.47738/jads.v5i1.165,0,Universitas Komputer Indonesia,Article,
85184673285,Unveiling Market Dynamics through Machine Learning: Strategic Insights and Analysis,Gaikwad V.S.,2024-01-01,,0,Trinity College of Engineering and Research,Article,
85184200899,Measuring the ROI of paid advertising campaigns in digital marketing and its effect on business profitability,Almestarihi R.,2024-01-01,10.5267/j.uscm.2023.11.009,1,"Middle East University, Jordan",Article,
85183864182,Exploring the complementary effects of business analytics capabilities and π-shaped skills on innovation outcomes,Abubakar A.M.,2024-01-01,10.1080/0960085X.2024.2304030,0,Antalya Bilim University,Article,
85183376217,Deep Learning-Based Prediction and Revenue Optimization for Online Platform User Journeys,Wang T.C.,2024-01-01,10.3934/QFE.2024001,0,National Taiwan University,Article,
85181265233,Emotional Analysis and Expression in Advertising Art Design Based on Deep Learning Algorithms,Guo W.,2024-01-01,10.14733/cadaps.2024.S15.147-162,0,Daegu University,Article,
85179727817,Customer Personality Analysis using Segmentation and Exploratory Data Analysis,Regulagadda R.,2024-01-01,,0,K L Deemed to be University,Article,
85175160254,A data-driven Recommendation Tool for Sustainable Utility Service Bundles,vom Scheidt F.,2024-01-01,10.1016/j.apenergy.2023.122137,0,Karlsruher Institut für Technologie,Article,
85169036812,"Competitive advantage: A longitudinal analysis of the roles of data-driven innovation capabilities, marketing agility, and market turbulence",Alghamdi O.A.,2024-01-01,10.1016/j.jretconser.2023.103547,12,Najran University,Article,
85168013443,Data Driven Mixed Industry Restructuring of State-Owned Enterprises in the Digital Marketing Strategy Era,Feng X.,2024-01-01,10.14733/cadaps.2024.S4.277-289,0,College of Business Administration,Article,
85186867522,Parallel theaters: human-machine collaborative creation and intelligent management for theatrical art,Ni Q.,2023-12-15,10.11959/j.issn.2096-6652.202344,2,Macau University of Science and Technology,Article,
85182984272,TRADEMARKS IN AN ALGORITHMIC WORLD,Farley C.H.,2023-12-01,,0,American University,Article,
85179371525,Identification of Pre-Emptive Biosecurity Zone Areas for Highly Pathogenic Avian Influenza Based on Machine Learning-Driven Risk Analysis,Jeon K.M.,2023-12-01,10.3390/ani13233728,0,Intflow Inc,Article,
85179315289,The future of marketing: How cultural understanding contributes to the success of brand positioning and campaigns,Jahns J.,2023-12-01,,0,Diageo,Article,
85166543982,Identifying meaningful subpopulation segments among older public assistance recipients: a mixed methods study to develop tailor-made health and welfare interventions,Ueno K.,2023-12-01,10.1186/s12939-023-01959-7,0,Graduate School of Medicine,Article,
85165595615,"From Lab to Market: Learning Entrepreneurial Marketing Through Multi-Semester, Stage-Gate, Capstone Project in STEM MBA",Marin A.,2023-12-01,10.1177/02734753231185415,1,Texas Tech University,Article,
85192345515,DPMS: Data-Driven Promotional Management System of Universities Using Deep Learning on Social Media,Hossain M.E.,2023-11-01,10.3390/app132212300,0,Daffodil International University,Article,
85178492982,Quality effort strategies of video service supply chain considering fans preference and data-driven marketing under derived demand,Xing P.,2023-11-01,10.1016/j.elerap.2023.101338,0,Liaoning University,Article,
85171769897,How has data-driven marketing evolved: Challenges and opportunities with emerging technologies,Rosário A.T.,2023-11-01,10.1016/j.jjimei.2023.100203,7,IADE - Universidade Europeia,Article,
85171345031,Mixed emotion extraction analysis and visualisation of social media text,Li Y.,2023-11-01,10.1016/j.datak.2023.102220,2,The University of Auckland,Article,
85141636794,Feasibility Constrained Online Calculation for Real-Time Optimal Power Flow: A Convex Constrained Deep Reinforcement Learning Approach,Sayed A.R.,2023-11-01,10.1109/TPWRS.2022.3220799,12,North China Electric Power University,Article,
85140369334,"Constrained Medical Oxygen Supply Chain in India during COVID-19: Red-tapism, the Elephant in the Room?",Gowda N.R.,2023-10-14,10.1017/dmp.2022.242,1,"All India Institute of Medical Sciences, New Delhi",Article,
